Leveranciers;9010 - GWW;9560 - I&M specifiek;9-Dienstspecifiek
Alpha Catering Lunchline;1;1;1
Alpha Holland;1;;1
Alphatron Communicatie, Observatie, Navigatie;;2;2
Alpina van Houwening & Ijsselstijn;1;1;1
ALPINE SPORTS;;1;1
ALSJOPA B.V.;;1;1
ALTENA PERS;1;;1
Altenburg & Wymenga Ecologisch Onderzoek;2;2;3
ALTEREGO CONSULT B.V.;;1;1
Alternate;;1;1
Altheris;;1;1
Altro Restaurant Bar;;1;1
Alvero Kantoormeubelverhuur;2;;2
Always Green (Full Moon City);;1;1
AL-West;;4;4
AM EN P;;1;1
Amarcon;;2;2
Amazing Bread Company (incl. Mammomi);2;1;2
AMBIANCE ZONWERING ERADUS;1;;1
Ambient Advies;3;;3
AMC Pilots B.V.;1;;1
Ameco Adviesgroep Milieubeleid;;1;1
AMELANDER MUSEA;;2;2
Amerongen Facilitair;;1;1
Amersfoort Beheer;;1;1
AMI Consultancy;;3;3
AMPLIO CONS;;1;1
Amrath Hotel;1;1;1
Amsio (vh Argeweb);1;1;1
Amstel Lease;;1;1
AMSTELHOECK;;1;1
Amstelzijde Horeca;;1;1
Amsterdam Airport Schiphol;4;;4
Amsterdam Café-Restaurant;;1;1
Amsterdam International Fashion Week;;1;1
Amsterdam Ports Association;;1;1
Amsterdamse Watertaxi Centrale;;1;1
Andersson Elffers & Felix;5;2;5
Ando Algemene Nederlandse Drukkerij Onderneming;1;;1
ANDRE KLERKS WIJNHANDEL SLIJTERIJ;;1;1
Andringa Bakkerij;;1;1
ANKERMAN MANAGEMENT PARTNER;;1;1
Anneville koetshuis;1;;1
ANNONU TECH;;2;2
Anoniem;8;6;8
ANP - Algemeen Nederlands Persbureau;1;2;2
Antargaz Nederland;;1;1
Antea (vh Oranjewoud, Save);4;7;7
ANTECH IT;;1;1
ANWB;2;2;3
Aob Compaz;1;;1
Aon De Stasie;1;;1
Aon Nederland;2;;2
AP-Art;1;;1
APCOA Parking;1;;1
Apemanagement;;1;1
Apenheul;;1;1
Apollo13;2;1;2
Appel;;1;1
APPIA Quality Project;;1;1
Applaus Restaurant Grand Café;;1;1
APPM Management Consultants;5;3;5
Appoint/Competence Factory;;1;1
AQUA DORDT;;2;2
Aqua Vision;;2;2
Aquabus;;2;2
Aqualab Zuid;;4;4
AQUALYSIS;;3;3
Aquasurvey;;2;2
Aquirius;3;;3
AQUON vestiging Tiel;;2;2
Ara Groep (incl. HFM\Bovaco);2;4;4
ARA RENTMEESTERS;;4;4
Aram;1;2;2
Arane Adviseurs in Verkeer en Vervo;;4;4
Aranea Consult;1;;1
Arbo Unie;7;4;7
ARC 2 ARCHITECTEN;;2;2
Arcadis (incl. Prc./Bouwcentrum, Alkyon);7;9;9
Arcgis Gebruikersgroep Nederland;1;;1
ARCHEODIENST B.V.;;1;1
ARCHEODIENST NOORD;;1;1
Archeon Novum;;1;1
Architectuur Lokaal;3;;3
Architectuurcentrum Aorta;;1;1
ArchiXL;;2;2
Ardis Management Development;2;;2
Arena Consulting;1;;1
Arfman Hekwerk;;3;3
ARGOSS;;3;3
Aris;3;;3
Aristo Holding;;1;1
Armaex;;1;1
Armatiek;;1;1
Arnhems Meisje Grand Café;1;1;1
ARP Nederland (incl. Artikona);;1;1
Ars Aequi;1;;1
Ars Traffic & Transport Tech;;7;7
Art Culinair;;1;1
Art Republic;;1;1
Artcentre Delft;;1;1
Arti Producties;1;;1
Artige;1;;1
Artikraak;1;;1
Artitude;;1;1
Artusi Restaurant;;1;1
ArtXtra;;1;1
ARUP;;7;7
Asbestzoeken (Asbestinventarisatiebureau H.A.G. van Wijk);;1;1
ASB-Security;;1;1
Ascom;1;;1
Askary Managed Services;2;;2
ASR Verzekeringsgroep;1;1;1
Assa Abloy (incl. Crawford, Cardo, Albany, Besam, Lips);;1;1
Assa Stenman Holland;1;;1
Assemblee Sprekersbureau;1;;1
Assen Hotel;;1;1
Assi Safety Ned;;1;1
ASSIST REGISTERACCOUNTANTS;;1;1
Astoria Café-Restaurant;;1;1
ASYA;;1;1
At Osborne;6;5;7
Atal Meettechniek;1;;1
Atelier 1:1;2;;2
ATELIER SCOPE;1;;1
ATK Grootkeukentechniek;1;;1
ATKB AquaTerra-KuiperBurger;1;4;4
Atlantis Wok & Partyrestaurant;;1;1
Atlas Voor Gemeenten;2;;2
ATMOS UAV B.V.;;2;2
ATN-Nooitgedacht;1;;1
Atos;7;4;7
ATPI Group (incl. The Advanced Travel Partner, ATP Corporate Travel, ATP Event Experts, ATP Groups & Incentives);1;;1
Atrive;2;2;2
ATS Retail;;1;1
AUBERGINE IT;;1;1
Audio Leiden;1;;1
Augusta Hotel & Restaurant;;1;1
Autobedrijf Oving;;1;1
AUTOMAT DEVENTER;;1;1
AutomotiveNL;1;1;2
Autoverhuur Rijnmond;;1;1
Auxilium;;1;1
AV CONS;;1;1
AVA ELECTRO;1;;1
AVA Management, Consulting & Engineering;;3;3
Avance;2;4;4
AVANTE CONSULTANCY;;1;1
Avcommit;;2;2
AVEHA OFFICE PRODUCTS B.V.;1;;1
Aveq Show Theatre & Congress Facilities;1;;1
Avex;3;2;3
AVIASSIST ST;2;;2
Avimotion;1;;1
AVISO MANAGEMENT & BEHEER B.V.;;2;2
AViste;1;;1
AVIV Adviesgroep;4;2;5
AVK Aaannemingsbedrijf;;4;4
AVK Adviesgroep voor Kantoorinnovatie;1;;1
AVM EXPERT B.V.;;1;1
AVONTUUR ST ZEEUWSE KLIPPER;;1;1
AVSM CONSULT;;1;1
Avus Nederland;2;;2
Awareness;3;2;3
AXENDER ROOSENDAAL;;1;1
AxFlow;;3;3
AXU VERKEER EN VERVOER B.V.;1;;1
Azerty Hardware;;1;1
B ART 3D VISUALISATIES;;1;1
B EN D NATUURADVIES;;2;2
B&B MOLLENVLIED;;1;1
B&G Hekwerk;;2;2
B.S.O. Botsabsorber Verhuur B.V.;;4;4
''B.V. Bouwmaatschappij ''''Hendriks'''''';;5;5
B.V. Cartografisch Instituut Cito-P;1;1;1
B.V. Hospitality Services Cultuurge;1;1;1
B.V. Steenfabriek Huissenswaard;;2;2
B+B Vakmedianet;;1;1
B2B Productions;;1;1
B4;;1;1
Baac Bureau Voor Bouwhistorie Archeologie Architectuur en Cultuurhistorie;;2;2
Baars Cipro;;3;3
Bacchus wijnimport;;1;1
BADGEDESIGN;;1;1
Badhotel;;1;1
Bagger- en Aannemingsmaatschappij V;;7;7
Baker Tilly Berk Accountancy en Belastingadvies Specialist;2;2;2
Bakker & Schnabel Training;1;;1
Bakker Ammerlaan;;1;1
Bakker Floor van Lieshout;;1;1
Bakker Hilvers;1;;1
Bakker in Vorden;1;;1
Bakker Installatiebedrijf;;1;1
BAKKER J DELSING;;1;1
BAKKER KOOS AANHANGERLAND;;1;1
BAKKER RENTMEESTER MAKELAARS;;1;1
Bakker Sliedrecht Electro;;7;7
Bakker Travel;;1;1
Bakkerij de Bruijne;;1;1
BAKKERIJ DIETEREN B.V.;1;;1
BAKKERIJ M VAN DEN STEENHOVEN EN ZO;;1;1
BAKKERIJ OUT;;1;1
Balance & Result;;2;2
Balance Ervaring op Projectbasis;2;5;5
Balance2 - Texts and Translations;1;;1
Ballast Nedam;;7;7
Balticode Nederland B.V.;3;;3
Baltzer Science Publishers;1;;1
Bam (incl. Interflow);2;11;11
BANDENSERVICE KLAAS VAN DER EIJK B.;1;;1
Bang on the Beach;;1;1
Banketbakkerij Bliek;;1;1
Banketbakkerij Bornhijm;1;;1
Banketbakkerij Brokking;;1;1
Banketbakkerij Gosselaar;;1;1
Banketbakkerij Lindeboom;;1;1
Banketbakkerij Maison Kelder;1;1;1
Banketbakkerij Prins;;1;1
Banketbakkerij Steentjes;;1;1
Banketbakkerij Theo Blom;;1;1
BARDOT RIDDERKERK B.V.;;1;1
Barlow Bar & Restaurant / Lafayette Cafe / Tilkema;1;;1
Bartimeus (incl. Stichting Bartiméus Accessibility);;1;1
Baru Services;2;;2
Bas - Business Art Service;1;;1
Bas Bakker;;1;1
Bas van der Pol Ijmuiden;;2;2
BASKET BUILDERS;;2;2
Bastion Hotels;2;2;3
BATAVIA STAD OUTLET SHOPPING B.V.;;1;1
Bataviawerf Restaurant;;1;1
Baten & Partners;2;1;2
BBA Bureau Voor Bouwhistorie & Architectuur;;1;1
Bba Tours;;1;1
BBC Belgian Beer Cafe Belvedere;;1;1
BCA Projecten;;1;1
BCB Bollenstreek Bergings Centrale;;1;1
BCC Electro-Speciaalzaken;;1;1
BCN Business Centre Nederland;1;1;1
Bcs Recaro Business Class Seating;1;;1
BCT LANDGRAAF;1;2;2
BDG Nederland;;1;1
BDS Borsch Duikservice;1;6;6
Bears Publishing;;1;1
Beatrix Theater;1;1;1
Beatz Entertainment (Internetverhuurshop.nl);;1;1
Beaumont;;2;2
Becker & van de Graaf;;2;2
BECO Groep;2;;2
Beeldleveranciers;1;1;2
Beeldwerk;;1;1
Beens Groep;;8;8
BEEST MARITIEME DIENSTVERLENING;;1;1
Beglobal;;2;2
Beheerkantoor/bezoekerscentrum;;6;6
BEHOUD GROENE HORTUS ST;;1;1
Bejan Bouw en Adviesbureau;;3;3
BEKKE RECYCLING B.V.;;1;1
BELEZA SOFTWARE ARCH;1;;1
Belle van Zuylen Restaurant;1;1;1
Bellevue Groothoofd Hotel Culinair;1;;1
Bellevue Restaurant;;1;1
Benegas;;1;1
Benelux Business Systems;1;;1
BENELUX HOTEL EXPLOITATIE III B.V.;;1;1
Benner Exploitatie (Kaap Hoorn, Via Vecchia);;1;1
BENTVELZEN EN JACOBS DEMONTAGE;;3;3
BeoHOME B.V.;;2;2
Berenschot Groep (incl. HB, KSG, Mazars Berenschot);7;4;7
BERGDAL EXPLOITATIE B.V.;;1;1
Bergnet;1;5;5
Bergsma Groothandel;;1;1
BERKEL BIKE;4;;4
Berlage Brasserie;1;;1
Berlage Kantoorvakhandel;1;;1
BERM TAXI;;2;2
BERMBEVEILIGING NEDERLAND;;1;1
Bert Kuizenga Media Producties;;1;1
Bert van der Donk Elektrotechnisch Bureau;;1;1
Besix;;7;7
Besseling Vervoert;1;1;1
Best Value;;1;1
Best Western Hotels;1;1;1
Bestdeal Factors (incl. Solid Factors);1;1;1
Betonvereniging;2;3;3
Betrokken;;3;3
BETTO BOLT B.V.;1;;1
Betuwe Express Touringcarbedrijf;;1;1
Beuk Touringcars;;2;2
Beurs Rotterdam;;1;1
Beware Beach;;1;1
Bex Communicatie;2;2;2
BEYSCHRIFT HET TEKST & JOURNALISTIE;;1;1
Bezemer & Kuiper;2;;2
BGL Partners;1;;1
Bhv.nl Bedrijfshulpverlening;;1;1
Bierman Henket Architecten;;2;2
Biesbosch Museum;;1;1
Biggelaar van den Aannemingsbedrijf;;7;7
Bij de Buurvrouw;;1;1
Bij De Haard Restaurant;;1;1
BIJLSTRA INSTALLATIES;;1;1
Bijnsdorp Communicatie Projecten;2;3;3
Bilderberg Hotels;1;2;2
Bilfinger (incl. Tebodin, Real Estate);;5;5
Billink;;1;1
BIM Media;;1;1
BIM SYSTEMS B.V;;2;2
Bind Academie;2;;2
Binkies Food & Drinks;;1;1
Binnenhof Eten & Drinken;;1;1
Bioclear;;2;2
BIOCOMPACT ENVIRONMENTAL TECH;1;;1
BIRD INVEST;;1;1
BIS Bedrijfs Informatie Systemen (incl. Correspondentie);1;;1
Bisnez Management;3;2;3
Bitman;2;;2
Bizz Design;;1;1
Bizzprint;;1;1
BK Bouw van Dorp Installaties Bouwcombinatie;;2;2
BK Groep;;1;1
Blauwdruk Redactie/Vormgeving;1;1;2
Bleekemolen Indoor Kart Planet;;1;1
BLOEMBINDERIJ VAN DER POST;;1;1
Bloemenboot De Watertuin;;1;1
Bloemenhuis Duivenvoorden;1;;1
Bloemsierkunst Anneke Kapteyn;;1;1
Bloemtique Bamboe;;1;1
Blomberg Congres Instituut;;1;1
Blue Drop V.O.F.;1;;1
BLUE FIFTY B.V.;;1;1
BLUEBERRYGARDEN HOLDING B.V.;;3;3
Blueconomy;4;1;4
Bluestar Onderhoud Renovatie Beveil;1;;1
BMC Groep (Advies, Verandermanagement & Coaching);;2;2
BMM GROEN;;2;2
BMO Bur voor Man Ondersteuning;1;;1
BNSP Beroepsvereniging van Nederlandse Stedebouwkundigen en Planologen;2;;2
Bob De Ronde Partners;1;;1
Bobbe Abonnementen;1;;1
Bocadillo Broodjeszaak;;1;1
Bodac;;7;7
Bodembeheer;2;;2
Bodemkundig Adviesbureau Edelman;2;;2
Boek & Offermans Makelaardij;;1;1
Boekel De Neree Advocaten;2;;2
Boels Verhuur (incl. HuurMax);1;;1
Boer & Croon;5;3;5
BOER BAKKER;;1;1
BOERDERIJ DICHTBIJ;1;;1
Boerderij Mereveld Partycentrum-Restaurant;;1;1
Boerin en de Kok;;1;1
Boertiengroep (incl. Ncatb);4;;4
Bol Handelsonderneming;1;;1
Bol.Com;1;1;1
Bombance;;1;1
Bombs Away;;3;3
Bommel Cafetaria, Eetcafé;;1;1
Bondsbureau KNKV;1;;1
Bonheur Horeca Groep;1;;1
BONO TRAFFICS;;1;1
BONSINK HARM DUIK EN REPARATIE BEDR;;1;1
Booij Klusman en van Bruggen;1;4;4
Boom & Bos;5;;5
Boom Kantoorprojecten;1;;1
Boom Marktverkenningen;4;;4
Boomerang Beach (vh Billabong Beach);1;;1
BOOMONTZORGING;;2;2
BOORTMAN ORGANISATIE ADVIES;;2;2
Boost Events;1;;1
Boot Organiserend Ingenieursburo;;5;5
Bos Vlaggen;;1;1
Bos-, Natuur- en Landschapsbeheer J;;2;2
BosBoon Expertise;;2;2
Bosch en Slabbers;1;2;3
BOSCH VAN DEN & PARTNERS;2;;2
BOSCH VAN DEN CONS;;2;2
BOSDIJK EXPERTISE- EN TAXATIEBUR;;1;1
Boshuis Handelsonderneming;1;;1
Boskalis (incl. Royal Boskalis Westminster, Boskalis Dolman);;10;10
Bosman Watermanagement;;1;1
BOSSIER ARCHITECTUUR;;1;1
Boswachter Liesbosch Restaurant;;1;1
bouAd Adviesgroep (vh Nebest);2;7;7
BOURGONDISCH VREESWIJK B.V.;;1;1
BOUT TANKVAART;;3;3
Bouter;1;;1
Bouw en Machinaal Timmerbedrijf G.G;1;;1
BOUWBEDRIJF MULDERS B.V.;;1;1
Bouwen Met Staal;1;1;2
BOUWMARKT HAGEDOORN;;1;1
BouwQ;;2;2
Bouwvisie Geo Techniek;;8;8
Bovo Tours;1;;1
Bowling Nieuwegein;;1;1
BP;;2;2
Braaksma & Roos Architecten (incl. RAB Restauratie Advies en Begeleidingsbureau);2;;2
Braam Groep (incl. Trainingen, Detachering en IT vacatures);;1;1
Brabant Expres;;1;1
Brabant Water;;7;7
Brabants-Zeeuwse Werkgeversvereniging;;1;1
Brackmann Stg Beheer Derdengelden;;1;1
Brady Groupe (incl. Seton, Transposafe);1;1;1
BRAIN WAVE CORPORATE;;1;1
Brakel Journée & Wouters Notarissen;;4;4
Brand Oil;;1;1
BrandNewHealth (vh BrandNewDay);1;;1
BRANGER VERKOOP;;1;1
Brascamp Veiligheidsadvies;1;1;1
BRASSERIE & ZO;1;;1
BRASSERIE ANDERS;;1;1
Brasserie De Boerderij;;1;1
Brasserie De Bolle Keizer;1;;1
Brasserie Fleurie Grand Café;;1;1
BRASSERIE OLIVIER;;1;1
Brasserie Ome Bernard;;1;1
Brasserie Van den Berg;1;;1
Bravura Service;1;;1
Braza;;1;1
Bredow Service;;1;1
BREED FOTOGRAFIE;;1;1
Breed Welzijn Delft;;1;1
Breijer Bouw en Installatie, Contractonderhoud, Elektrotecniek, Technisch Beheer;2;4;4
Bresser grote projecten;;4;4
Breur Beveiligingen, Ijzerhandel;;1;1
Breustedt Chemie;1;;1
Brick;;1;1
BRIDGEMAN;;1;1
Bright Alley Knowledge & Learning;3;;3
Brightsight;1;;1
Brigitte van Etten;;1;1
Brimos;;4;4
BRINKER PERSONENVERVOER;;1;1
Brixcrm;;1;1
Bro Adviseurs;3;4;5
Brocante Grand Café-Brasserie;;1;1
Broekema Wegenbouw;;2;2
Broers Stadscafé-Restaurant;;1;1
BROOD- EN BANKETBAKKERIJ FLEUREN V.;;1;1
Brood- en Banketbakkerij Tullenaar;;1;1
BROOD-EN BANKETBAKKERIJ VAN BALLEGO;;1;1
Broodje Groffen;;1;1
Brooklyn Business Consult;;2;2
Broos Water;3;;3
Brouwers Tours;1;;1
Bruil Infra;;5;5
BRUINING ADVIES;;1;1
Brunel Nederland (incl. Legal, IT);;3;3
Brussels Lof Restaurant;;1;1
Brutus Beer 2011;;1;1
Bruxelles aan Zee;;1;1
Bruynzeel Interfinish;;1;1
Bruynzeel Storage Systems;2;;2
Brw Groep;2;;2
BSB Staalbouw;;5;5
BSE YMOND;1;;1
BSI Group Management Systems;2;1;2
BST Dintelsas;;1;1
BT Global Services (incl. Syntegra);;4;4
BTC Boukema Trading Company Infra & Bedrijfswageninrichting;;2;2
BTD Beveiligingstechniek Dordrecht;;1;1
BTG (incl. Telegrootgebruik (TGG), Telegrootgebruik Inkoop, Belstore);5;7;7
BTG BEVEILIGINGSINSTALLATIES;;1;1
BTL (incl. Advies, Bomendienst, Realisatie);;4;4
BTN;;3;3
Buck Consultants International;4;2;4
Buckaroo Online Payment Services;1;;1
Bucky's Grill en Cateringservice;;1;1
Budde Café-Restaurant;;1;1
Buena Vista Beach Club;1;1;1
Bugelhajema Adviseurs;1;2;2
Buijert Zwartendijk Kampen;;1;1
Buijs Advies Ruimtelijke Ordening;1;1;2
Buijtendijk IJzerhandel;;1;1
BUILDING CONCEPT;;1;1
BUILDSCAN B.V.;;1;1
Buiten Strandpaviljoen;1;;1
Buiten, Bureau Voor Economie & Omgeving;4;;4
BUITENGEIN;;1;1
Buitengoed Hagenhorst;;2;2
Buitenplaats Amerongen;;1;1
Buitenpoort catering;;1;1
Buko Infrasupport;;1;1
Bull Nederland;5;;5
Buma Stemra;1;;1
BURDIE B.V.;;1;1
Bureau B + B Stedebouw en Landschapsarchitectuur;;1;1
Bureau Blauwgeel;3;;3
Bureau Blueland;2;;2
Bureau KLB;4;1;4
Bureau mr W.A. Overkamp;1;;1
Bureau Onderweg (Methonder);;3;3
Bureau Sanering Verkeerslawaai;7;;7
Bureau Stroming;2;1;2
Bureau Taal;;2;2
Bureau Veritas;;4;4
Bureau voor Asbestadvies;2;;2
Buren Systems International;1;;1
Burggolf;;1;1
Burghouwt Bouwbeslag;;2;2
Burgt Banketbakkerij;;1;1
BURO C5;;1;1
Buro De Steeg;;1;1
BURO HOLLEMA;;1;1
Buromex;1;;1
Business Bloemist Melenhorst;1;;1
Business Translation Services;;1;1
BusinessWise inspiring people B.V.;1;;1
BUSSER TRANSPORT;;1;1
BUURT- EN BELANGENVERENIGING HUIS T;;1;1
Buzztalk B.V.;1;;1
BV KKS;;5;5
BVS GROOT IR P H DE;2;;2
BWZ Ingenieurs;;1;1
BZ INNOVATIEMAN;;1;1
C. Mulckhuyse Bouw- en Aannemingsbedrijf;;3;3
C. van Doremaele Firma;1;;1
C2 Adviesbureau;;3;3
Cablean;2;1;2
Cabri Drukkerij;;1;1
CACHELOT;2;;2
CAD Accent;;1;1
Caesar Groep;6;;6
CAFE DE KROEG ETEN & DRINKEN;;1;1
Cafe Du Midi;;1;1
Cafe Orloff;1;;1
Café Waalzicht;;1;1
CAFE-ZALENCENTRUM DE DIJK;;1;1
Cair Cafe;;1;1
Calendar42;1;;1
CALJÉ INFRA ADVIES;;2;2
CALL-IT INTERNATIONAAL B.V.;;1;1
Camelot Vastgoedbeheer;;1;1
Cameranu NL;;1;1
Campanile Hotel & Restaurant;;1;1
CAMPING BOVENSLUIS B.V.;;1;1
CAMPING DE VIER BANNEN;;1;1
CAMPING 'T OVERBOS B.V.;;1;1
CAMPUS SUI MOVEO B.V.;3;;3
Canast;1;3;3
Canne & Cruijcken (incl. Vergader@Home);;1;1
Canon (incl. Océ Nederland);1;1;1
CAOP - Centrum Voor Arbeidsverhoudingen Overheidspersoneel;2;;2
Capability Online;;1;1
CAPELLO DRUKKERIJ;;1;1
Capgemini;6;7;7
CapitalP;6;;6
Capneuf;;1;1
Capwell;;1;1
Carepack Holland;1;;1
Caris Bakkerij;1;1;1
Carlton Hotel;1;;1
Carré Consulting;1;;1
Carrier Heating, Air-Conditioning, Refrigeration;;1;1
Carthago ICT;1;;1
CARTO STUDIO;;1;1
Casa Caroni den Haag Restaurant;1;;1
Casa Grande;1;;1
Casa Sciascia;;1;1
Cascadis;;1;1
CASTLE COMMUNICATIONS;5;;5
Casu Utrecht;1;;1
Catalogtree;2;;2
Catec;;1;1
Catering Hanenburg;;1;1
Catering Utrecht;;1;1
Catering2U / Lunchnu.nl;;1;1
Cazdak Dakbedekkingen B.V.;;1;1
CB Centraal Boekhuis (incl. Facturatie);1;1;1
CBRB;;1;1
CCV Services;1;;1
CE Delft Onderzoek Advies en Consultancy voor Duurzaamheid;5;2;5
CEBO HOLLAND;;1;1
CEEBEE IT;;1;1
Ceka Office Group Nederland;1;;1
Celectric;;2;2
Celexon (incl. Beamershop24.nl);1;;1
Celjo Rederij;1;;1
CENOSCO CUSTOM B.V.;1;2;2
Central Point;1;1;1
CENTRE FOR CLIMATE ADAPTATION;2;;2
Centre For Generative Leadership;1;;1
CENTRE VILLE;;1;1
Centric (incl. Qualityhouse);5;2;6
Centric Financial Professionals (vh Finace);;1;1
Centrum Voor Conflicthantering;1;;1
Century Autogroep (incl. BMC Groningen);;1;1
Cerium;;1;1
CEVAIRKON;;1;1
CFA ADMINISTRATIEVE ONDERSTEUNING;2;;2
CG ZUIDLAND;;1;1
CGI Group (incl. Logica CMG);4;;4
Challenge Learning;2;;2
Charta Software;;2;2
Chateau Neercanne;1;;1
Cheops Studievereniging Bouwkunde;1;;1
CHIEL VAN PRAAG PRODUCTIONS;1;;1
China City Chinees Indisch Restaurant ;;1;1
China Delight (Shizo Sushi);1;;1
''CHINEES SPECIALITEITEN & JAPANS ''''TE'';;1;1
Chinees-Indisch Restaurant;;1;1
CHL NETHERLANDS;;1;1
Chorda Safety Solutions;;1;1
CHR  INT COMM VOOR DE HYDROLOGIE VA;;2;2
Christelijke Hogeschool Windesheim;2;;2
Ciao Catering;;1;1
CIB Centraal Inkoopbureau;1;1;1
CIBT/V&V Visumdienst;;1;1
Cimco;3;;3
