"leverancier"	"aantal_kostensoorten"	"totaal_staffel"	"diversity"
"2Coolmonkeys"	10	14	7.14285714285714
"Abn-Amro Bank (incl. Fortis)"	10	14	7.14285714285714
"AdviSafe Risk Management"	10	14	7.14285714285714
"Avis Autoverhuur (incl. Budget rent a car)"	10	14	7.14285714285714
"Dbf Communicatie"	10	14	7.14285714285714
"Dialogue"	10	14	7.14285714285714
"E-learningportals (Icttrainingen.nl)"	10	14	7.14285714285714
"Falco"	10	14	7.14285714285714
"Fleetlogic"	10	14	7.14285714285714
"Horeca Adviescentrum HTC"	10	14	7.14285714285714
"Hostmanship Group Nederland"	10	14	7.14285714285714
"IMV Nederland/GE Digital Energy"	10	14	7.14285714285714
"In60seconds"	10	14	7.14285714285714
"Kader Bureau voor Kwaliteitszorg"	10	14	7.14285714285714
"Meltwater the Netherlands"	10	14	7.14285714285714
"Mooirivier Congreshotel (vh Conferentiecentrum de Bron)"	10	14	7.14285714285714
"NegoMetrix"	10	14	7.14285714285714
"Rexel Nederland"	10	14	7.14285714285714
"ROC van Twente"	10	14	7.14285714285714
"Saxion Hogeschool Enschede"	10	14	7.14285714285714
"SOA Aids Nederland"	10	14	7.14285714285714
"Stichting Raakvlak"	10	14	7.14285714285714
"Stimulansz"	10	14	7.14285714285714
"The Twins"	10	14	7.14285714285714
"Wensink Automobiel Bedrijven"	10	14	7.14285714285714
"Zorgmarktadvies"	10	14	7.14285714285714
"Abiom"	11	17	7.11764705882353
"Burgers Zoo"	11	17	7.11764705882353
"De Marineclub"	11	17	7.11764705882353
"Dyna Vision"	11	17	7.11764705882353
"ECR-Nederland"	11	17	7.11764705882353
"Jong Europe"	11	17	7.11764705882353
"Novelties Business Gifts"	11	17	7.11764705882353
"Nyenrode Services"	11	17	7.11764705882353
"Transmo (Caru Containers)"	11	17	7.11764705882353
"Van Keulen Interieurbouw (incl. Magista)"	11	17	7.11764705882353
"Vitasys (incl. FastWell Office Automation)"	11	17	7.11764705882353
"Aqua Chain Holland"	8	9	7.11111111111111
"Mts voor Communicatie"	16	36	7.11111111111111
"Screenhouse Textieldrukkers"	8	9	7.11111111111111
"Sociaal.NL Schuldsanering"	8	9	7.11111111111111
"CWS Nederland"	19	51	7.07843137254902
"Kampert en Helm (incl. K&H, Rotaform)"	18	46	7.04347826086957
"KLM"	18	46	7.04347826086957
"Van der Velden Rioleringsbeheer"	13	24	7.04166666666667
"De Fabrique"	15	32	7.03125
"Gispen International"	24	82	7.02439024390244
"Trigion Beveiliging (incl. Csu Security, PreNed, Falck Security, Teleguard)"	24	82	7.02439024390244
"A.D. Kloosterman"	7	7	7
"ADO Hospitality & Events"	7	7	7
"Alexander Restaurant"	7	7	7
"Al-Ko Kober B.V."	7	7	7
"A-Mac"	7	7	7
"Apetito"	7	7	7
"Archeon Novum"	7	7	7
"Arnauld Geschenken"	7	7	7
"Audion Elektro"	7	7	7
"Augusta Hotel & Restaurant"	7	7	7
"Autogros Automaterialen"	7	7	7
"Autorent"	7	7	7
"B.A. Blansjaar"	7	7	7
"Bakker Derks"	7	7	7
"Bakkerij Schuurmans"	7	7	7
"Bandzoeker.nl"	7	7	7
"Banketbakkerij Bliek"	7	7	7
"Bataviawerf Restaurant"	7	7	7
"Beach Ameland (vh Peddels Outdoor Center)"	7	7	7
"Beachclub De Karavaan"	7	7	7
"Beaumont"	7	7	7
"Belle van Zuylen Restaurant"	7	7	7
"Bibliotheek Haarlem centrum"	7	7	7
"Blooming Art"	7	7	7
"Boekbinderij van Dijk"	7	7	7
"Boom Laboratorium Leverancier Meppel"	7	7	7
"Boxem Ter Apel"	7	7	7
"Brabant Hotel"	7	7	7
"Brasserie Ome Bernard"	7	7	7
"Brehm"	7	7	7
"Brilmij Groep"	7	7	7
"Burotronic & Kiel"	7	7	7
"Cadeau-specialist.nl"	7	7	7
"Camping Het Drents Kwartiertje"	7	7	7
"Chartworx"	7	7	7
"Cisco Systems International (incl. Webex)"	7	7	7
"ContrAll Inspectie"	7	7	7
"DBS Maaitechniek"	7	7	7
"De Blauwe Lotus"	7	7	7
"De Groot Houtbewerkingsmachines"	7	7	7
"De Haan Archiefbeheer, Verhuizingen"	7	7	7
"De Kock Raamfolie"	7	7	7
"De Nieuwe Bierton"	7	7	7
"De Posthoorn Hotel-Café-Restaurant"	7	7	7
"Deskbookers"	7	7	7
"De twee Wezen"	7	7	7
"De Vier Jaargetijden Bloemsierkunst"	7	7	7
"DND Trading"	7	7	7
"Drukkerij Het Snorretje"	7	7	7
"Druk Werk Deal"	7	7	7
"DSL-Reclame"	7	7	7
"ECDL Nederland"	7	7	7
"Egner Kantoorspecialisten"	7	7	7
"Eijsink Afrekensystemen"	7	7	7
"Elycio Talen"	14	28	7
"Energiewacht"	7	7	7
"Ergonomique"	7	7	7
"Ergozit"	7	7	7
"Erha Trading"	7	7	7
"Euroflorist Nederland"	7	7	7
"Extrarius Adventures"	7	7	7
"Flanderijn en van Eck Gerechtsdeurwaarders"	7	7	7
"Fleuribelli"	7	7	7
"Foam Amsterdam"	7	7	7
"Forensisch Medisch Genootschapcontributie"	7	7	7
"Fort Bronsbergen"	7	7	7
"Gannexion"	7	7	7
"Gencom Power"	7	7	7
"Getinge"	7	7	7
"Govers Groothandel"	7	7	7
"Helder Graveertechniek"	7	7	7
"Het Gouden Oor"	7	7	7
"Holland Branding Group"	7	7	7
"HTMC Haagse Taxi Mobilofoon Centrale"	7	7	7
"Il Senso Restaurant"	7	7	7
"ImpactAbility"	7	7	7
"In den Stallen"	7	7	7
"Jager Aannemersbedrijf"	14	28	7
"Jeroen van der Meyde Fotogeniek"	7	7	7
"J.M. Raadsma Dokkum IJzerhandel"	7	7	7
"John Korver  Cartoonist & Sneltekenaar"	7	7	7
"Judith van Heems"	7	7	7
"Juni Ontbijt en Lunch"	7	7	7
"Juridische Hogeschool Avans-Fontys"	7	7	7
"Kantoorstempels.nl"	7	7	7
"Kasteel Vaeshartelt Conf en Hotel"	7	7	7
"Kok Party-Catering Service"	7	7	7
"Krabbendam Kadoverpakking en Kado"	7	7	7
"Kwibus Fun-Bus"	7	7	7
"La Lanterna Restaurant Pizzeria"	7	7	7
"Leen Bakker Nederland"	7	7	7
"Lime"	7	7	7
"Lubbers Bakkerij"	7	7	7
"Marcel Uljee Teksten"	7	7	7
"MCH Medisch Centrum Haaglanden (incl. Westeinde, Antoniushove)"	7	7	7
"Merlin Security Services"	7	7	7
"Metrohm Applikon"	7	7	7
"Modez Hotel"	7	7	7
"Momento"	7	7	7
"More Balls Than Most"	7	7	7
"Moree Gelderblom Advocaten"	7	7	7
"MoveToLive"	7	7	7
"MTI - Mediation Trainingsinstituut"	7	7	7
"Mulder Motoren"	7	7	7
"Muta Sport"	7	7	7
"National Instruments"	7	7	7
"Nauta Dutilh Advocatenkantoor"	7	7	7
"Nedco Display"	7	7	7
"Nederlands Instituut voor Lastechniek"	7	7	7
"NHG Uitgeverij"	7	7	7
"Nieuwhuis Consult"	7	7	7
"NVvA Nederlandse Vereniging voor Arbeidshygiene"	7	7	7
"Paradigit Computers"	7	7	7
"Partners in Cultuur en Beleving"	7	7	7
"Peperzak"	7	7	7
"Perron 4/5 Volgens Tollius"	7	7	7
"Personal Talent"	7	7	7
"Pioen Partners"	7	7	7
"Planplan Adviesbureau"	7	7	7
"Polychromal"	7	7	7
"Polysport Activiteitenpark"	7	7	7
"Probin"	7	7	7
"Promotex"	7	7	7
"Proteon Communication Builders"	7	7	7
"Reijnders Advies & Ontwikkeling"	7	7	7
"Renaud Delft Horecabenodigdheden"	7	7	7
"Result ADR Conflictmanagement"	7	7	7
"Rhima Nederland"	7	7	7
"Rijwielhandel H.W. en R.M. Tieleman"	7	7	7
"Rijwielhandel van Doremaele"	7	7	7
"Roossien Hoogwerktechniek"	7	7	7
"Santos Grillrestaurant"	7	7	7
"Smorenberg Alkmaar"	7	7	7
"Snelwenskaart.nl"	7	7	7
"Soweco Industrie"	7	7	7
"SRA (Samenwerkende Registeraccountants en Accountants-Administratieconsulenten)"	7	7	7
"Stichting Rioned"	7	7	7
"Stichting Werk Aan De Linie"	7	7	7
"St. Jonge Balie Nederland"	7	7	7
"St. Zevenheuvelenloop"	7	7	7
"SVPB Stichting Vakexamens voor de Particuliere Beveiligingsorganisaties"	7	7	7
"TCR Tours"	7	7	7
"Tennant N.V."	7	7	7
"T Heutink Huis"	7	7	7
"Tijdwinst (incl. SRS Consulting)"	7	7	7
"Ton Tweewielers Verhuur"	7	7	7
"Urbana Grandcafé Restaurant Zalencentrum"	7	7	7
"Van der Peijl Techniek"	7	7	7
"Van Puffelen Restaurant Café"	7	7	7
"Vereniging Voor Mededingingsrecht"	7	7	7
"Verweij-Jonker Instituut"	7	7	7
"Vivon"	7	7	7
"Weegtechniek Holland"	7	7	7
"Westerhuis Verhuur"	7	7	7
"Wok Euroborg Chinees Restaurant"	7	7	7
"Xerox/Document House"	7	7	7
"Zaamen"	7	7	7
"ZargesTubesca (incl. Zarges, Skyworks)"	7	7	7
"Zebedeus Café-Restaurant"	7	7	7
"Zorggroep Almere"	7	7	7
"IBM (incl. Cognos)"	31	139	6.9136690647482
"ISS Holding"	17	42	6.88095238095238
"Movisie Fulfilment"	17	42	6.88095238095238
"Green Valley"	12	21	6.85714285714286
"Esri Nederland"	21	65	6.78461538461539
"Automatic Signal Rijsenhout"	13	25	6.76
"Cinnamon Interactive"	13	25	6.76
"Inholland Academy"	13	25	6.76
"ROC Midden Nederland"	13	25	6.76
"Sovon Vogelonderzoek NL"	13	25	6.76
"Van Hulzen Public Relations"	13	25	6.76
"VCD Groep (incl. Automatisering/Business Inteligence/Css)"	13	25	6.76
"DFG De Facilitators Groep"	14	29	6.75862068965517
"Ooperon"	14	29	6.75862068965517
"Voorberg Bouwkunde"	14	29	6.75862068965517
"AWVN"	9	12	6.75
"DBC"	9	12	6.75
"Lagant Management Consultants"	9	12	6.75
"Vistanova"	9	12	6.75
"V&Vn Beroepsvereniging van Zorgprofessionals"	9	12	6.75
"CapitalP"	16	38	6.73684210526316
"Evides Waterbedrijf"	16	38	6.73684210526316
"Heras Security Systems"	16	38	6.73684210526316
"Motrac Intern Transport"	16	38	6.73684210526316
"Travel Card Nederland"	16	38	6.73684210526316
"Aegon"	11	18	6.72222222222222
"Doxis"	11	18	6.72222222222222
"Rino Noord-Holland"	11	18	6.72222222222222
"Biga Groep (Sociale Werkgroep)"	17	43	6.72093023255814
"Conclusion"	25	93	6.72043010752688
"Between"	26	101	6.69306930693069
"Hippo"	10	15	6.66666666666667
"Smidswater"	10	15	6.66666666666667
"Brabant Water"	15	34	6.61764705882353
"BTL (incl. Advies, Bomendienst, Realisatie)"	15	34	6.61764705882353
"APPM Management Consultants"	12	22	6.54545454545454
"Evite Services"	12	22	6.54545454545454
"PPO Praktijkonderzoek Plant & Omgeving"	12	22	6.54545454545454
"Athlon Car Lease"	28	120	6.53333333333333
"Unica (ICT Network, Technisch beheer, Installatietechniek, Automatic Sprinkler)"	14	30	6.53333333333333
"De Galan Groep (incl. Opleidingen)"	15	35	6.42857142857143
"Gunnebo"	15	35	6.42857142857143
"4Some Technisch Beheer"	8	10	6.4
"Academie voor arbeidsmarkt communicatie"	8	10	6.4
"All Solutions"	8	10	6.4
"Antonides"	8	10	6.4
"Aquaco"	8	10	6.4
"Arriva Openbaar Vervoer"	8	10	6.4
"ASS Autofauteuils"	8	10	6.4
"Auto Muntstad"	8	10	6.4
"AVK Adviesgroep voor Kantoorinnovatie"	8	10	6.4
"Balance2 - Texts and Translations"	8	10	6.4
"Beurs van Berlage"	8	10	6.4
"Bloemenhuis De Narcis"	8	10	6.4
"Blomsma Groep (incl. Print & Sign, Sign & Safety, Colorprinting, Repro)"	8	10	6.4
"Blom Verkeersveiligheidstrainingen"	8	10	6.4
"BME Opleidingen"	8	10	6.4
"Bos, Ontwikkeling in Organisatie"	8	10	6.4
"Brabanthallen Exploitatie Maatschappij"	8	10	6.4
"Broekhuis Bedrijfswagens"	8	10	6.4
"Bulthuis Truck- en Traileronderdelen"	8	10	6.4
"Canast"	8	10	6.4
"CBizz"	8	10	6.4
"Centre For Generative Leadership"	8	10	6.4
"Century Autogroep (incl. BMC Groningen)"	8	10	6.4
"Coachboulevard"	8	10	6.4
"Crystal Specials"	8	10	6.4
"Culipro"	8	10	6.4
"DareTronics Services"	8	10	6.4
"Deac Nederland"	8	10	6.4
"Decos Software"	8	10	6.4
"De Eeuwige Lente Bloembinderij"	8	10	6.4
"Designthinkers"	8	10	6.4
"De Tijd Bedrijfskleding"	8	10	6.4
"De Waterloobar Cafe"	8	10	6.4
"Doeksen, G. en Zonen Rederij"	8	10	6.4
"Dorhout Mees Centrale Wapenhandel"	8	10	6.4
"Dragt Boek - en Kantoorvakhandel"	8	10	6.4
"Dukino Business Events"	8	10	6.4
"Dutch Water Dreams / Webeach"	8	10	6.4
"Ecp - Stichting Electronic Commerce Platform Nederland"	8	10	6.4
"Effectyf"	8	10	6.4
"Eijkelkamp Agrisearch Equipment"	8	10	6.4
"Engelsman Hoveniers"	8	10	6.4
"Ese (incl. Otto Gebr)"	8	10	6.4
"Evc Centrum Nederland"	8	10	6.4
"Fel Wit Grafisch Ontwerpers"	8	10	6.4
"Fireware"	8	10	6.4
"Fruitful Office Nederland"	8	10	6.4
"GH Catering"	8	10	6.4
"Gielissen"	16	40	6.4
"Global Project Performance"	8	10	6.4
"Grand Kasteel Woerden"	8	10	6.4
"Green Wheels"	8	10	6.4
"Heffiq (vh Barloworld Intern Transport)"	8	10	6.4
"Het Effectieve Werken"	8	10	6.4
"Het Heden Restaurant en Tuin"	8	10	6.4
"Insights Internationaal"	8	10	6.4
"IP Computer Traning Centrum"	8	10	6.4
"ISS Holding/Facility Services"	16	40	6.4
"Jongeneel Houthandel"	8	10	6.4
"Kameryck"	8	10	6.4
"Kreisler Import"	8	10	6.4
"Landustrie Sneek"	8	10	6.4
"La Poutre Bureau"	8	10	6.4
"Laundry Handelsond"	8	10	6.4
"Leica Microsystems & Geosystems"	8	10	6.4
"Live Trainingen"	8	10	6.4
"LNR Global Com"	8	10	6.4
"Minigrip"	8	10	6.4
"Nieuwe Nobelaer"	8	10	6.4
"Novi Hogeschool"	8	10	6.4
"PAL Pioniers in Authentiek Leiderschap"	8	10	6.4
"Phil Nijhuis fotografie"	8	10	6.4
"Pol De Jong & Partners (vh Instituut voor Werk en Levenskunst)"	8	10	6.4
"Poppe Restaurant"	8	10	6.4
"Presenters Wall"	8	10	6.4
"Purple Monkey / Breinonderwijs"	8	10	6.4
"QSM Quantitative Software Management"	8	10	6.4
"Ram Mobile Data"	8	10	6.4
"Reaseuro"	8	10	6.4
"Rederij De Nederlanden"	8	10	6.4
"Rent A Plant Almelo"	8	10	6.4
"Ricardo Balans Communicatie"	8	10	6.4
"Royal Leerdam Crystal"	8	10	6.4
"SBR Vloeren en Interieur"	8	10	6.4
"Schippers IT"	8	10	6.4
"Scripta Media"	8	10	6.4
"Sports Design Textieldrukkers"	8	10	6.4
"Stichting Stimular"	8	10	6.4
"Stipte (vh Scarlet Telecom)"	8	10	6.4
"Stomerij Panda"	8	10	6.4
"Stumpel Office Filing"	8	10	6.4
"SUIT Supply"	8	10	6.4
"Textcetera"	8	10	6.4
"UninU (incl. Uniglas, HerstelDirect)"	8	10	6.4
"United Fish Auctions"	8	10	6.4
"Vaarshop Van Kalsbeek"	8	10	6.4
"Veolia water solutions & Technologies (vh Rossmark Waterbehandeling)"	8	10	6.4
"Veth Carrosseriefabriek"	8	10	6.4
"Viking Life Saving Equipment"	8	10	6.4
"Waterkracht"	8	10	6.4
"Zeelandnet"	8	10	6.4
"Zoer Assen"	8	10	6.4
"Enexis (vh Essent Netwerk, At Home)"	23	83	6.37349397590361
"Anticimex (vh ISS Hygiene Services)"	11	19	6.36842105263158
"Bisnez Management"	11	19	6.36842105263158
"Dalkia Dbu Gebouwenbeheer"	11	19	6.36842105263158
"Defacto Software"	11	19	6.36842105263158
"Paris Uitgeverij"	11	19	6.36842105263158
"Pompestichting"	11	19	6.36842105263158
"Things To Make And Do"	11	19	6.36842105263158
"Vijlbrief P&O"	11	19	6.36842105263158
"Duo2"	20	63	6.34920634920635
"Bex Communicatie"	13	27	6.25925925925926
"SDL Tridion"	13	27	6.25925925925926
"APCOA Parking"	10	16	6.25
"Badhotel"	10	16	6.25
"BMC Groep (Advies, Verandermanagement & Coaching)"	15	36	6.25
"BSI Group Management Systems"	10	16	6.25
"Dirksen Bedrijfsopleidingen"	10	16	6.25
"Grotius Academie"	10	16	6.25
"Headfirst"	25	100	6.25
"Het Havengebouw Amsterdam"	10	16	6.25
"Holland Marine Equipment"	10	16	6.25
"Misset"	10	16	6.25
"Nederman (incl. Lebon&Gimbrair)"	10	16	6.25
"Oasen"	10	16	6.25
"Organisatieregie"	10	16	6.25
"Plus Delta"	10	16	6.25
"Schneider Electric (incl. MGE UPS Systems)"	10	16	6.25
"Tam Tam"	10	16	6.25
"T.M.C. Asser Instituut"	10	16	6.25
"Warema (vh Delta Nederland)"	10	16	6.25
"BVDA Internationaal"	9	13	6.23076923076923
"De Spitsheuvel Restaurant"	9	13	6.23076923076923
"DHTC Den Helder Training Centre"	9	13	6.23076923076923
"Dijkstra Vereenigde"	9	13	6.23076923076923
"Eemshaven Properties"	9	13	6.23076923076923
"E.Novation"	9	13	6.23076923076923
"Epona Software Productions"	9	13	6.23076923076923
"Food Enjoyce"	9	13	6.23076923076923
"Infopact Netwerkdiensten"	9	13	6.23076923076923
"Ingrid Brons"	9	13	6.23076923076923
"Jo Bos & Co (incl. Zwaluw Advies)"	9	13	6.23076923076923
"King Disposables Nederland"	18	52	6.23076923076923
"Leaseweb"	9	13	6.23076923076923
"N.A. van den Hoven & Zn Brandkastenfabriek"	9	13	6.23076923076923
"Ondernemingshuis Kantorenpand Sittard"	9	13	6.23076923076923
"Princenhof Hotel Restaurant"	9	13	6.23076923076923
"The Courseware Company"	9	13	6.23076923076923
"Vabi Vereniging voor Automatisering in de Bouw en Installatietechniek"	9	13	6.23076923076923
"Van Dam Technisch Beheer"	9	13	6.23076923076923
"Young Works"	9	13	6.23076923076923
"Alpheios"	7	8	6.125
"AOG Contractonderwijs (incl. Academie voor Management)"	14	32	6.125
"Bilfinger (incl. Tebodin, Real Estate)"	14	32	6.125
"Capabel Onderwijs Groep"	7	8	6.125
"Coldtrick It Solutions"	7	8	6.125
"Dek Verkeersopleidingen"	7	8	6.125
"Eduvision"	7	8	6.125
"Facility Service"	14	32	6.125
"Grafisch Bureau van Erkelens"	7	8	6.125
"Lankelma Geotechniek"	7	8	6.125
"Maters & Hermsen Journalistiek en Opleidingen"	14	32	6.125
"MB Safety"	7	8	6.125
"Radar Groep (incl. Uitvoering, Vertige, Implementatie van Beleid)"	14	32	6.125
"Stichting Noordwijk Space Expo"	7	8	6.125
"Thom H. v.d. Boon BV"	7	8	6.125
"Van Kleef & Partners"	7	8	6.125
"Wissema Group"	7	8	6.125
"Movares Nederland"	19	59	6.11864406779661
"Heigo Nederland"	16	42	6.09523809523809
"Manpower (incl. TVcN Tolk- en Vertaalcentrum Nederland)"	20	66	6.06060606060606
"STC Group"	13	28	6.03571428571429
"Verizon Nederland (incl. VB Verizon Business)"	13	28	6.03571428571429
"Maas Internationaal - Koffieautomaten"	19	60	6.01666666666667
"06 GPS"	6	6	6
"11 Congressen"	6	6	6
"2 Facilitate 4 Best Results"	6	6	6
"4Meetings & Events"	6	6	6
"A1-City"	6	6	6
"A4 Training"	6	6	6
"ABB"	6	6	6
"A.B. Geluidstechniek"	6	6	6
"ABP-Reclame"	6	6	6
"Academie Voor De Rechtspraktijk"	6	6	6
"Aces Direct (incl. Take It Now, Rackserver, Sessence)"	6	6	6
"Achterkamp Bedrijfsopleidingen"	6	6	6
"ACM Opleidingen"	6	6	6
"ACV Beveiligingstech"	6	6	6
"Adlib Gebruikersgroep"	6	6	6
"Adviesbureau Reit"	6	6	6
"Advyt (vh Amethist)"	6	6	6
"AGC Gerechtsdeurwaarders & Incasso"	6	6	6
"Airborne Museum"	6	6	6
"Aircorent"	6	6	6
"Alex van Groningen Corporate & Finance Training"	6	6	6
"Allfo"	6	6	6
"Allrent / De Polderland Groep / Dry Hire"	6	6	6
"All Risk"	6	6	6
"Allround Automations"	6	6	6
"Alpha Catering Lunchline"	6	6	6
"Altrex"	6	6	6
"Alup Kompressoren"	6	6	6
"Always Green (Full Moon City)"	6	6	6
"Amaze Escape Events"	6	6	6
"Amazing Design"	6	6	6
"Ambassade Hotel"	6	6	6
"American Express Int"	6	6	6
"Amstel Graphics"	6	6	6
"Amsterdam Hospitality Company"	6	6	6
"Amsterdam Marketing"	6	6	6
"Amsterdam Ports Association"	6	6	6
"Ando Algemene Nederlandse Drukkerij Onderneming"	6	6	6
"Anggrek Bloemsierkunst"	6	6	6
"Anke Nobel illustraties"	6	6	6
"Anna Caspari Hotel-Restaurant"	6	6	6
"Anre Sound"	6	6	6
"Apemanagement"	6	6	6
"Appoint/Competence Factory"	6	6	6
"Aqua Mister (Aqua Active)"	6	6	6
"Ara Hotel"	6	6	6
"Arcgis Gebruikersgroep Nederland"	6	6	6
"Archief Services"	6	6	6
"Arko Sports Media"	6	6	6
"Arnhems Meisje Grand Café"	6	6	6
"Artifac Tekenvakhandel"	6	6	6
"ArtXtra"	6	6	6
"Asgard Hotel"	6	6	6
"Assen Hotel"	6	6	6
"Assi Safety Ned"	6	6	6
"Astek"	6	6	6
"Atag Nederland"	6	6	6
"A. Theeuwen"	6	6	6
"Atlantic & Pacific Exchange Program"	6	6	6
"Atticus Uitgeverij"	6	6	6
"Auberge De Smockelaer"	6	6	6
"Augustus Connect"	6	6	6
"Aura Software"	6	6	6
"Autobedrijf De Rooij"	6	6	6
"Auto Bourguignon"	6	6	6
"Autogrill"	6	6	6
"Auto Indumij Dordrecht"	6	6	6
"Automaten Centrale NO"	6	6	6
"Auto Mondt"	6	6	6
"Auto Palace"	6	6	6
"AVB Amstelveens Vertaalburo"	6	6	6
"A-Z Barbecue & Gourmet Party"	6	6	6
"Aziatische Bloemsierkunst"	6	6	6
"Babypark Kesteren"	6	6	6
"Baccara Bloemsierkunst"	6	6	6
"Bagsandboxes"	6	6	6
"Bakker Ammerlaan"	6	6	6
"Bakker Boogers"	6	6	6
"Bakker Floor van Lieshout"	6	6	6
"Bakker Installatiebedrijf"	6	6	6
"Bakker Prins"	6	6	6
"Bakker Wim BV"	6	6	6
"Balkan Grill Restaurant"	6	6	6
"Bambu Centrum Voor Gewaarzijn"	6	6	6
"Banketbakkerij J. Smit"	6	6	6
"Banketbakkerij Maassen"	6	6	6
"Baptist Ijzerwaren&Gereedschappen"	6	6	6
"Barten Bouwbedrijf"	6	6	6
"BAS Truck"	6	6	6
"BBC Belgian Beer Cafe Belvedere"	6	6	6
"B&B Haarlem"	6	6	6
"BB Office & Ergonomics"	6	6	6
"BCC Electro-Speciaalzaken"	6	6	6
"Belfleur Bloemenatelier"	6	6	6
"Belimed"	6	6	6
"Berkman Energie"	6	6	6
"Bert Hellinger Instituut Nederland"	6	6	6
"Betam Truck & Carwash"	6	6	6
"Beter Evenementen"	6	6	6
"Beter Horen"	6	6	6
"Betuwe Express Touringcarbedrijf"	6	6	6
"Beun en De Ronde"	6	6	6
"Bever Autoaanpassingen"	6	6	6
"Bevordering Notariele Wetenschap St"	6	6	6
"Bewaakt & Bewoond"	6	6	6
"BGL Partners"	6	6	6
"Bhv.nl Bedrijfshulpverlening"	6	6	6
"Biblionet"	6	6	6
"Biermans Ijzerhandel"	6	6	6
"Bijenhuis Wageningen"	6	6	6
"Bij 'T Boerderijke"	6	6	6
"Billink"	6	6	6
"Binoq Atana"	6	6	6
"Bis Restaurant"	6	6	6
"Blansjaar 's-Gravenhage"	6	6	6
"Blauwdruk Redactie/Vormgeving"	6	6	6
"Bloemenboutique Nicole"	6	6	6
"Bloemen & Planten H. van Oest"	6	6	6
"Bloemsierkunst Artisjok"	6	6	6
"Bloemsierkunst Flora"	6	6	6
"Blomster De"	6	6	6
"Blue Sakura Japanese Sushi en Grill"	6	6	6
"BodemenergieNL"	6	6	6
"Boerderij Mereveld Partycentrum-Restaurant"	6	6	6
"Bokstijn Feestartikelen"	6	6	6
"Boom voor Kerst"	6	6	6
"Bora Bora Strandpaviljoen"	6	6	6
"Bos & Bos Catering (incl. Brasserie Bites)"	6	6	6
"Bos Elektro"	6	6	6
"Bos Vlaggen"	6	6	6
"Bouquetterie Fronita"	6	6	6
"Brabants Lederwarenhuis"	6	6	6
"Brandid"	6	6	6
"Brasserie Panneke"	6	6	6
"Brasserie Stadhuis Schiedam"	6	6	6
"Brasserij De Bergerrie"	6	6	6
"Brenntag"	6	6	6
"Britstra Foto Video"	6	6	6
"Broekmeulen Renée Tekst & Training"	6	6	6
"Brofa"	6	6	6
"BTA Montage"	6	6	6
"Budgetgift.nl"	6	6	6
"Buena Vista Beach Club"	6	6	6
"Buisleidingen Industrie Gilde"	6	6	6
"Buitengoed Uylenburg"	6	6	6
"Buitenlandse Pers Vereniging"	6	6	6
"Buitenpoort catering"	6	6	6
"Buro van Riel Schoonmaakbedrijf"	6	6	6
"BWT Nederland (vh Christ Holland)"	6	6	6
"Byloth B.V."	6	6	6
"Cadac Group"	6	6	6
"Camfil Farr"	6	6	6
"Canal Company"	6	6	6
"Canne & Cruijcken (incl. Vergader@Home)"	6	6	6
"Cantina Mexicana (incl.Tapasco)"	6	6	6
"Carglass"	6	6	6
"Cargo Compliance Company (vh DGM)"	6	6	6
"Carina Tapas"	6	6	6
"Casa Grande"	6	6	6
"Casa Santa Maria (vh de Vier Vensters Restaurant)"	6	6	6
"Cashless Solutions (Inepro)"	6	6	6
"Catering2U / Lunchnu.nl"	6	6	6
"CCM Customer Contact Magazine"	6	6	6
"CD-Rom-Land"	6	6	6
"Cees van der Horst Organisatie en Evenementen"	6	6	6
"Celsus Juridische Uitgeverij"	6	6	6
"CETEQ Communication & Security"	6	6	6
"C.G. Holthausen"	6	6	6
"Chocolate Experience"	6	6	6
"Chocolaterie De Lelie"	6	6	6
"Christus Triumfatorkerk"	6	6	6
"Circumference"	6	6	6
"City Inn"	6	6	6
"CIV Cooperatieve In- en Verkoopvereniging /Den Oever"	6	6	6
"Cmedia"	6	6	6
"CM Partners"	6	6	6
"Coffeemania"	6	6	6
"Color Utrecht"	6	6	6
"Comichouse"	6	6	6
"Consonant"	6	6	6
"Contiki Holland / Atlas Reizen"	6	6	6
"Cooperatie Nederlandse Associatie voor Praktijkexamens"	6	6	6
"Copla Opleiding & Training"	6	6	6
"Correct Business Electronics"	6	6	6
"Corridor Taverne"	6	6	6
"Cotica HRM advies"	6	6	6
"Crepa Heftruck Verhuur"	6	6	6
"Crown Worldwide (incl. Gerlach art packers & shippers, John Nurminen Prima)"	6	6	6
"Culpepper Beachclub"	6	6	6
"Damen Incasso"	6	6	6
"D&D Daniels & Dekkers Schuldhulpverlening"	6	6	6
"De Arendshoeve Hotel"	6	6	6
"De Ballonnenwinkel"	6	6	6
"De Beer"	6	6	6
"Déblé Venlo Relatiegeschenken"	6	6	6
"De Bloemenkas"	6	6	6
"De Boer Bosch Sonmez Advocaten"	6	6	6
"DE EIGEN ZAAK"	6	6	6
"De Engel Restaurant"	6	6	6
"De Gereghthof"	6	6	6
"De Haas Restaurant"	6	6	6
"De Heerenkeet Café-Restaurant"	6	6	6
"De Hoefslag Restaurant"	6	6	6
"De Jufferen Lunsingh"	6	6	6
"De Knip Restaurant"	6	6	6
"De Koningshof Restaurant"	6	6	6
"De Korenbeurs"	6	6	6
"De Landbouw Café-Restaurant-Brasserie (incl. Rat Pack)"	6	6	6
"De Lange"	6	6	6
"De Lekkerbek Bakkerij"	6	6	6
